close,epoch,high,low,open
107944.9751,2025-06-22 04:18:00,108050.9024,107896.1775,107928.6966
108117.5119,2025-06-22 04:19:00,108117.5119,107966.5814,107972.1474
108054.9878,2025-06-22 04:20:00,108119.7187,107972.2049,108103.4295
108339.4586,2025-06-22 04:21:00,108339.4586,108026.8097,108026.8097
108242.2636,2025-06-22 04:22:00,108380.8091,108242.2636,108354.5822
108122.3858,2025-06-22 04:23:00,108252.3461,108113.8105,108252.3461
108212.1443,2025-06-22 04:24:00,108215.6689,108082.831,108131.6514
108043.7565,2025-06-22 04:25:00,108210.9388,108028.2949,108203.637
108052.2881,2025-06-22 04:26:00,108074.6417,108004.5721,108030.7206
107929.8104,2025-06-22 04:27:00,108093.2874,107902.911,108053.7676
108027.8941,2025-06-22 04:28:00,108046.8863,107883.9402,107911.8386
108237.2095,2025-06-22 04:29:00,108237.2095,108010.1964,108047.5768
108268.232,2025-06-22 04:30:00,108310.3927,108155.7723,108214.3672
108467.7421,2025-06-22 04:31:00,108482.372,108264.3843,108275.2217
108504.8678,2025-06-22 04:32:00,108592.487,108473.0151,108487.3694
108451.9218,2025-06-22 04:33:00,108543.9989,108427.0182,108504.0127
108372.7536,2025-06-22 04:34:00,108477.561,108372.7536,108431.9033
108564.2621,2025-06-22 04:35:00,108589.5508,108299.4279,108326.8706
108462.9114,2025-06-22 04:36:00,108562.1013,108459.9229,108562.1013
108492.692,2025-06-22 04:37:00,108605.1036,108473.4699,108481.8273
108563.8287,2025-06-22 04:38:00,108615.1893,108459.5815,108467.3373
108477.0872,2025-06-22 04:39:00,108593.0355,108470.6739,108559.6626
108592.1513,2025-06-22 04:40:00,108592.1513,108451.7664,108473.0781
108364.9132,2025-06-22 04:41:00,108632.242,108364.9132,108630.4149
108476.7372,2025-06-22 04:42:00,108560.6762,108398.704,108398.704
108388.4582,2025-06-22 04:43:00,108520.4428,108379.8289,108469.3253
108299.9382,2025-06-22 04:44:00,108429.1293,108299.9382,108348.7621
108221.6395,2025-06-22 04:45:00,108335.479,108212.2581,108250.1949
108241.4094,2025-06-22 04:46:00,108309.0836,108182.7692,108231.8978
108406.0513,2025-06-22 04:47:00,108474.2498,108242.6504,108278.0298
108221.1175,2025-06-22 04:48:00,108415.9658,108221.1175,108394.5603
108381.2797,2025-06-22 04:49:00,108447.5612,108201.3827,108229.2274
108674.6454,2025-06-22 04:50:00,108674.6454,108369.1905,108390.442
108804.2384,2025-06-22 04:51:00,108804.2384,108668.0167,108668.0167
108507.3225,2025-06-22 04:52:00,108781.4365,108507.3225,108781.4365
108585.1178,2025-06-22 04:53:00,108624.0478,108484.3432,108484.3432
108654.4266,2025-06-22 04:54:00,108729.1026,108578.5333,108578.5333
108681.3908,2025-06-22 04:55:00,108720.6538,108584.4174,108606.6311
108695.1176,2025-06-22 04:56:00,108744.2694,108633.0747,108692.3695
108552.1333,2025-06-22 04:57:00,108751.5022,108552.1333,108700.6407
108598.437,2025-06-22 04:58:00,108625.8825,108508.5307,108556.8602
108780.9799,2025-06-22 04:59:00,108790.9672,108606.447,108606.447
108754.2942,2025-06-22 05:00:00,108786.5792,108692.4612,108782.3105
108581.0055,2025-06-22 05:01:00,108759.1145,108581.0055,108759.1145
108711.5547,2025-06-22 05:02:00,108711.5547,108583.8667,108608.2441
108729.0012,2025-06-22 05:03:00,108729.0012,108627.4432,108703.0805
108623.2727,2025-06-22 05:04:00,108781.6942,108623.2727,108695.3463
108443.4294,2025-06-22 05:05:00,108625.5425,108443.4294,108625.5425
108315.578,2025-06-22 05:06:00,108438.0511,108315.578,108412.9249
108328.9611,2025-06-22 05:07:00,108373.9756,108236.6191,108291.766
108437.5022,2025-06-22 05:08:00,108504.5528,108319.779,108319.779
108334.4854,2025-06-22 05:09:00,108471.462,108320.8839,108455.2218
108292.2854,2025-06-22 05:10:00,108433.2623,108291.7915,108365.2858
108255.5136,2025-06-22 05:11:00,108358.2573,108255.5136,108296.3456
108456.4873,2025-06-22 05:12:00,108456.4873,108231.0432,108248.376
108562.6725,2025-06-22 05:13:00,108674.7234,108472.8405,108472.8405
